Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Joggen – Dauer (ms)
14:30:00.000+01:00,14:45:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817608833312988,51.23925018310547,6.817784309387207,,,,,,,,,900000,,
14:45:00.000+01:00,15:00:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817725658416748,51.23955535888672,6.817923069000244,,,,,,,,,900000,,
15:00:00.000+01:00,15:15:00.000+01:00,18.848958530329462,,,,,51.23906707763672,6.817477226257324,51.23915100097656,6.817725658416748,,,,,,,,,900000,,
15:15:00.000+01:00,15:30:00.000+01:00,18.848958530329462,,,,,51.239219665527344,6.817756652832031,51.239219665527344,6.817756652832031,,,,,,,,,900000,,
15:30:00.000+01:00,15:45:00.000+01:00,30.92799138188774,179.62063366907046,,,,51.23906707763672,6.817725658416748,51.239479064941406,6.818123817443848,0.8901738822460175,1.1839203834533691,0.5964273810386658,375,,,,,724378,175622,
15:45:00.000+01:00,16:00:00.000+01:00,72.29851254640468,1119.57415693266,,,,51.24100112915039,6.812700271606445,51.247642517089844,6.818212509155273,1.5158581851412178,1.8195250034332275,0.399737685918808,1413,85.0,85.0,85.0,,122879,777121,
16:00:00.000+01:00,16:15:00.000+01:00,18.848957802712054,,,,,51.24759292602539,6.817030429840088,51.24787521362305,6.8173956871032715,,,,54,,,,,900000,,
16:15:00.000+01:00,16:30:00.000+01:00,18.848957802712054,,,,,,,,,,,,,,,,,900000,,
16:30:00.000+01:00,16:45:00.000+01:00,18.848957802712054,,,,,,,,,,,,,,,,,900000,,
16:45:00.000+01:00,17:00:00.000+01:00,148.37933363952615,1597.9716772579945,136.18617886178862,149.0,92.0,51.247291564941406,6.817011833190918,51.25694274902344,6.824923515319824,1.4081728227148773,2.7713406085968018,0.5011416673660278,1850,,,,,203144,80856,616000
17:00:00.000+01:00,17:15:00.000+01:00,138.9627402759136,1453.0231456602999,139.26755852842808,151.0,110.0,51.256961822509766,6.823417663574219,51.267120361328125,6.831146240234375,1.039352125600841,3.9166669845581055,0.0,1613,,,,,300554,,599446
17:15:00.000+01:00,17:30:00.000+01:00,187.72584467402766,1943.1091089116667,,,,51.260040283203125,6.830199241638184,51.26716613769531,6.835628986358643,0.9705739174818958,2.4444446563720703,0.0,1974,,,,,85361,67639,747000
17:30:00.000+01:00,17:45:00.000+01:00,216.71010050018646,2281.941196484777,,,,51.246299743652344,6.82385778427124,51.2601318359375,6.836557865142822,1.2045464204894252,2.2402443885803223,0.5655050873756409,2486,,,,,,,900000
17:45:00.000+01:00,18:00:00.000+01:00,94.31363465564296,887.1345745632607,,,,51.24519348144531,6.817145347595215,51.24790954589844,6.825913429260254,1.193121088248659,2.2653188705444336,0.26720407605171204,1041,,,,,471691,123768,304541
