Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
14:15:00.000+02:00,14:30:00.000+02:00,18.703122408884877,,,,,51.247623443603516,6.817366123199463,51.247623443603516,6.817366123199463,,,,,85.0,85.0,85.0,,900000,,
14:30:00.000+02:00,14:45:00.000+02:00,54.78670890262757,248.163161277771,,,,51.247230529785156,6.814582824707031,51.24767303466797,6.817378997802734,0.7349433193845799,1.1114048957824707,0.4723033308982849,110,,,,377180,402820,120000,
14:45:00.000+02:00,15:00:00.000+02:00,85.00000212673802,528.1043739318848,,,,51.247642517089844,6.814198017120361,51.24892044067383,6.818245887756348,0.7387129499167684,1.417170763015747,0.2581351101398468,,,,,900000,,,
15:00:00.000+02:00,15:15:00.000+02:00,38.261257239478724,118.0,,,,,,,,0.47499996423721313,0.8333332538604736,0.29999998211860657,164,,,,39528,620472,240000,
15:15:00.000+02:00,15:30:00.000+02:00,27.102430295944213,31.0,,,,,,,,0.25833331048488617,0.3166666328907013,0.19999998807907104,40,,,,,780000,120000,
15:30:00.000+02:00,15:45:00.000+02:00,18.848957734949447,,,,,51.23578643798828,6.787869453430176,51.245445251464844,6.811039447784424,,,,40,,,,,900000,,
15:45:00.000+02:00,16:00:00.000+02:00,73.1000607434441,802.273915708065,,,,51.22999572753906,6.758219242095947,51.231689453125,6.7600417137146,1.0200551026486584,1.6999999284744263,0.18333330750465393,957,,,,,120000,780000,
16:00:00.000+02:00,16:15:00.000+02:00,81.56449460983276,1007.95387840271,,,,51.22307586669922,6.757710933685303,51.227840423583984,6.768866062164307,1.3229138764078292,3.437490224838257,0.5291193127632141,1157,,,,,,900000,
16:15:00.000+02:00,16:30:00.000+02:00,76.30365242137269,780.379020690918,,,,51.22747802734375,6.7578125,51.23161315917969,6.760128021240234,0.949572575559654,1.399999976158142,0.22206738591194153,904,,,,,,835353,
16:30:00.000+02:00,16:45:00.000+02:00,39.482639592264256,207.8307342529297,,,,51.23151397705078,6.757805347442627,51.23163604736328,6.758646488189697,0.6662009933025554,1.0166666507720947,0.23333331942558289,225,,,,,,300000,
